Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
View Mylyn Task,00:03,,,,,,Other,,Mylyn Window,,
Activate Mylyn Task,00:29,,,,,,Other,Mouse,Mylyn Task List,,
Expand,02:25,FreeMind_integration,Project,,,,Navigation,Mouse,Package Explorer,,
Run,02:35,FreeMind_integration,Project,,,,Debugging,Mouse,Package Explorer,Reproducing Bug,
View Mylyn Task,07:02,,,,,,Other,,Mylyn Window,,
View Bug Report on SourceForge,07:58,,Bug Report,,,,Other,Mouse,Eclipse Browser Window,,
View Bug Report Comments,08:38,,Bug Report,,,,Other,Mouse,Google Chrome,,
File Search,11:21,“Saving failed”,String,,,Workspace Contains String,Navigation,Both,Search Dialog,,
Show Instruction,11:31,,Instruction,ControllerAdapter.SaveAction,actionPerformed,Instruction Contains String,Navigation,Mouse,Results Window,,
Add Bookmark,12:12,"“Saving faild message here, ...”",Bookmark,ControllerAdapter.SaveAction,actionPerformed,,Navigation,Both,Java Editor,,
Show View,12:28,Bookmarks View,View,,,,Navigation,Both,Eclipse,,
Open Declaration,12:48,save ,Method,ControllerAdapter ,,Declaration,Navigation,Keyboard,F3,,
Set Breakpoint,13:06,,Instruction,ControllerAdapter ,save ,,Debugging,Mouse,Java Editor,,
Debug,13:52,FreeMind_integration,Project,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,14:44,,Instruction,ControllerAdapter ,save ,,Debugging,,Java Editor,,
Resume,14:52,,,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,15:31,,Instruction,ControllerAdapter ,save ,,Debugging,,Java Editor,,
Step Over,15:39,,Instruction,ControllerAdapter ,save ,,Debugging,Mouse,Java Editor,,
Step Over,15:46,,Instruction,ControllerAdapter ,save ,,Debugging,Mouse,Java Editor,,
Scan,15:46,save ,Method,ControllerAdapter ,,,Navigation,,Java Editor,,
Step Over,15:54,,Instruction,ControllerAdapter ,actionPerformed,,Debugging,Mouse,Java Editor,,
Step Over,15:56,,Instruction,ControllerAdapter ,actionPerformed,,Debugging,Mouse,Java Editor,,
Step Over,15:57,,Instruction,ControllerAdapter ,actionPerformed,,Debugging,Mouse,Java Editor,,
Resume,15:59,,,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,16:09,,Instruction,ControllerAdapter ,save ,,Debugging,,Java Editor,,
Step Over,16:10,,Instruction,ControllerAdapter ,save ,,Debugging,Mouse,Java Editor,,
Step Over,16:10,,Instruction,ControllerAdapter ,save ,,Debugging,Mouse,Java Editor,,
Step Into,16:17,,Instruction,ControllerAdapter ,getModel,,Debugging,Mouse,Java Editor,,
Step Into,16:24,,Instruction,ControllerAdapter ,save ,,Debugging,Mouse,Java Editor,,
Step Into,16:28,,Instruction,MapAdapter,getFile,,Debugging,Mouse,Java Editor,,
View Variable,16:43,file,Variable,MapAdapter,getFile,,Navigation,Mouse,Java Editor,Mouse hover,
Step Into,16:56,,Instruction,ControllerAdapter ,save ,,Debugging,Mouse,Java Editor,,
Step Into,16:59,,Instruction,ControllerAdapter ,save ,,Debugging,Mouse,Java Editor,,
Step Into,17:08,,Instruction,ControllerAdapter ,getModel,,Debugging,Mouse,Java Editor,,
Step Into,17:09,,Instruction,ControllerAdapter ,save ,,Debugging,Mouse,Java Editor,,
Step Into,17:12,,Instruction,MindMapAdapter,saveInternal,,Debugging,Mouse,Java Editor,,
View Variable,17:20,file,Variable,MindMapAdapter,save ,,Navigation,Mouse,Java Editor,Mouse hover,
Expand,17:24,file,Variable,MindMapAdapter,save ,,Navigation,Mouse,Variables Window,,
Step Into,17:26,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
Set Breakpoint,17:34,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
Step Into,17:36,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
Step Into,17:45,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
Step Into,17:51,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
Step Into,17:53,,Instruction,FreeMindSecurityManager,checkWrite,,Debugging,Mouse,Java Editor,,
Step Into,17:59,,Instruction,FileOutputStream,FileOutputStream,,Debugging,Mouse,Java Editor,no Sources attached,
Step Over,18:00,,Instruction,FileOutputStream,,,Debugging,Mouse,Java Editor,no Sources attached,
Step Over,18:01,,Instruction,FileOutputStream,,,Debugging,Mouse,Java Editor,no Sources attached,
Step Over,18:02,,Instruction,FileOutputStream,,,Debugging,Mouse,Java Editor,no Sources attached,
Step Over,18:03,,Instruction,FileOutputStream,,,Debugging,Mouse,Java Editor,no Sources attached,
Step Over,18:04,,Instruction,FileOutputStream,,,Debugging,Mouse,Java Editor,no Sources attached,
Step Over,18:05,,Instruction,FileOutputStream,,,Debugging,Mouse,Java Editor,no Sources attached,
Step Out,18:07,,Instruction,FileOutputStream,,,Debugging,Mouse,Java Editor,no Sources attached,
Step Out,18:08,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
Step Over,18:12,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
View Variable,18:14,fileout,Variable,MindMapMapModel,saveInternal,,Navigation,Mouse,Java Editor,Mouse hover,
View Javadoc,18:18,getXml,Method,MindMapMapModel,,,Navigation,Mouse,Java Editor,Mouse hover,
Step Over,18:25,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
Step Into,18:30,,Instruction,StdFormatter,format,,Debugging,Mouse,Java Editor,,
Resume,18:34,,,,,,Debugging,Mouse,Eclipse,,
View Stacktrace,18:40,,,,,,Navigation,Mouse,Eclipse,,
Hit Breakpoint,19:21,,Instruction,ControllerAdapter ,save ,,Debugging,,Java Editor,,
Resume,19:23,,,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,19:23,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
Step Over,19:26,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
Step Over,19:27,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
Step Over,19:28,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
Step Over,19:29,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Java Editor,,
Step Into,19:32,,Instruction,MindMapMapModel,getXml,,Debugging,Mouse,Java Editor,,
Step Into,19:35,,Instruction,MindMapMapModel,getXml,,Debugging,Mouse,Java Editor,,
Step Into,19:40,,Instruction,MapAdapter,getRootNode,,Debugging,Mouse,Java Editor,,
Step Into,19:44,,Instruction,MindMapMapModel,getXml,,Debugging,Mouse,Java Editor,,
Step Into,19:45,,Instruction,MindMapMapModel,getXml,,Debugging,Mouse,Java Editor,,
Step Into,19:49,,Instruction,MindMapMapModel,getXml,,Debugging,Mouse,Java Editor,,
