Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
View Mylyn Task,00:03,,,,,,Other,,Mylyn Window,,
Activate Mylyn Task,01:20,,,,,,Other,Mouse,Mylyn Window,,
Run ,02:25,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,Reproducing Bug,
Expand,15:44,PasswordSafeLib,Project,,,,Navigation,Mouse,Package Explorer,,
Expand,15:46,src,Source Folder,,,Project Contains Source Folder,Navigation,Keyboard,Package Explorer,,
Expand,15:55,PasswordSafeJ,Project,,,,Navigation,Mouse,Package Explorer,,
Expand,15:56,src,Source Folder,,,Project Contains Source Folder,Navigation,Keyboard,Package Explorer,,
Expand,15:57,org.pwsafe.passwordsafej,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Open Type,16:09,PasswordDialog,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,16:09,PasswordDialog,Class,,,,Navigation,,Java Editor,,
Open Call Hierarchy,16:58,getEnteredPassword,Method,PasswordDialog,,Members calling Method,Navigation,Mouse,Java Editor,,
Expand,17:04,openFile,Method,PasswordSafeJ,,,Navigation,Mouse,Results Window,,
Show Instruction,17:05,,Instruction,PasswordSafeJ,openFile,Instruction calls Method,Navigation,Mouse,Results Window,,
Open Type,17:19,PasswordDialog,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Open Call Hierarchy,17:27,getEnteredPassword,Method,PasswordDialog,,Members calling Method,Navigation,Mouse,Java Editor,,
Expand,17:28,openFile,Method,PasswordSafeJ,,Instruction calls Method,Navigation,Mouse,Results Window,,
Expand,17:29,actionPerformed,Method,PasswordSafeJ,,Instruction calls Method,Navigation,Mouse,Results Window,,
Expand,17:30,actionPerformed,Method,PasswordSafeJ,,Instruction calls Method,Navigation,Mouse,Results Window,,
Expand,17:33,ToolbarHandler,Class,,,Instruction calls Method,Navigation,Mouse,Results Window,,
Expand,17:34,PasswordSafeJ,Class,,,Instruction calls Method,Navigation,Mouse,Results Window,,
Collapse,17:39,ActionListener,Method,ActionListener,,Instruction calls Method,Navigation,Mouse,Results Window,,
Collapse,17:46,actionPerformed,Method,PasswordSafeJ,,Instruction calls Method,Navigation,Mouse,Results Window,,
Show Instruction,17:47,,Instruction,PasswordSafeJ,openFile,Instruction calls Method,Navigation,Mouse,Results Window,,
Scan,17:51,PasswordDialog,Class,,,,Navigation,,Java Editor,,
Open Type,17:58,PasswordDialog,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Project References,18:06,getEnteredPassword,Method,PasswordDialog,,References in Project,Navigation,Mouse,Java Editor,1 Reference,
Show Instruction,18:09,,Instruction,PasswordSafeJ,openFile,Instruction references Method,Navigation,Mouse,Results Window,,
Scan,18:09,PasswordDialog,Class,,,,Navigation,,Java Editor,,
