Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Reproduce Bug,00:00,,,,,,,Both,Eclipse,,
Expand,03:14,Rachota,Project,,,,Navigation,Mouse,Package Explorer,via Package Explorer,
Expand,03:16,src,Source Folder,,,Project Contains Source Folder,Navigation,Mouse,Package Explorer,via Package Explorer,
Expand,03:21,org.cesilko.rachota.gui,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Open Type,03:25,HistoryView,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,03:31,HistoryView(),Method,HistoryView,,Class Contains Method,Navigation,,Java Editor,,
Open Type,04:39,TaskDialog,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,04:58,TaskDialog,Class,,,,Navigation,,Java Editor,,
Expand,05:03,TaskDialog,Class,,,,Navigation,Mouse,Package Explorer,via Package Explorer,
Show Field,05:05,btOK,Field,TaskDialog,,Class Contains Field,Navigation,Mouse,Package Explorer,via Package Explorer,
Find,05:12,„btOK“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Ctrl+F,
Open Declaration,05:18,btOKActionPerformed,Method,TaskDialog,,Declaration,Navigation,Keyboard,Java Editor,F3,
Scan,05:20,btOKActionPerformed,Method,TaskDialog,,,Navigation,,Java Editor,,
Open Declaration,06:11,firePropertyChange,Method,Component,,Declaration,Navigation,Keyboard,Java Editor,F3,Part of Swing – no Sources attached
Close Window,06:17,Component.class,Class-File,,,,Navigation,Mouse,Java Editor,,
Find,06:21,„task_created“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Ctrl+F,nothing found
Search – Java,06:34,„task_created“,String,,,Java Workspace Matches String,Navigation,Mouse,Find Dialog,,nothing found
Open Type,06:53,HistoryView,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Run ,07:01,Rachota Project,Project,,,,Debugging,Mouse,Eclipse,,
Quick Outline,07:46,HistoryView,Class,,,Outline of Class,Navigation,Keyboard,Java Editor,Ctrl+O,
Show Field,08:01,btForward,Field,HistoryView,,Class Contains Field,Navigation,Mouse,Java Editor,via Quick Outline,
Find,08:11,„btForward“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Ctrl+F,
Open Declaration,08:19,btForwardActionPerformed(),Method,HistoryView,,Declaration,Navigation,Keyboard,Java Editor,F3,
Scan,08:23,btForwardActionPerformed(),Method,HistoryView,,,Navigation,,Java Editor,,
Scan ,08:51,HistoryView(),Method,HistoryView,,,Navigation,,Java Editor,,
Project References,08:57,jtProjects,Field,HistoryView,,Reference,Navigation,Mouse,Results Window,,
Show Instruction,09:06,,Instruction,HistoryView,HistoryView(),Reference,Navigation,Mouse,Results Window,via Project References,
