Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Activate Mylyn Task,01:13,,,,,,,Mouse,Mylyn Window,,
View Mylyn Task,01:24,,,,,,,Both,Mylyn Window,,
Run ,02:03,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,Reproducing Bug,
Scan,05:20,Console Output,,,,,Navigation,,Console Window,,
Copy String,05:47,“trying to unlock”,String,,,,Navigation,Both,Console Window,,
File Search,05:55,„trying to unlock“,String,,,,Navigation,Both,Find Dialog,String Obtained from Console Output,
Expand,06:07,messages.properties,Resource File,,,,Navigation,Mouse,Results Window,,
Open File,06:13,messages_de.properties,Resource File,,,File Content Matches String,Navigation,Mouse,Text Editor,via Find Dialog,
Copy String,06:16,„LockDbAction.Log.TryToUnlock“,String,,,,Navigation,Both,Console Window,,
Find,06:19,„LockDbAction.Log.TryToUnlock“,String,,,,Navigation,Mouse,Find Dialog,String Obtained from Resource File,
Expand,06:30,UnlockDbAction,Class,,,,Navigation,Mouse,Results Window,,
Show Instruction,06:31,,Instruction,UnlockDbAction,performUnlock,File Content Matches String,Navigation,Mouse,Java Editor,via Find Dialog,
Scan,06:31,performUnlock,Method,UnlockDbAction,,,Navigation,,Java Editor,,
Open Declaration,07:26,"openFile(String, String)",Method,PasswordSafeJFace,,Declaration,Navigation,Mouse,Java Editor,,
Open Declaration,07:32,"openFile(String, String, String)",Method,PasswordSafeJFace,,Declaration,Navigation,Mouse,Java Editor,,
Scan,07:32,"openFile(String, String, String)",Method,PasswordSafeJFace,,,Navigation,,Java Editor,,
Show Method,08:09,setPwsFile,Method,PasswordSafeJFace,,Reference,Navigation,Both,Java Editor,Ctrl+Click,Click on Refrence
Scan,08:09,setPwsFile,Method,PasswordSafeJFace,,,Navigation,,Java Editor,,
Show Method,08:14,updateViewers,Method,PasswordSafeJFace,,Reference,Navigation,Both,Java Editor,Ctrl+Click,Click on Refrence
Scan,08:14,updateViewers,Method,PasswordSafeJFace,,,Navigation,,Java Editor,,
Show Javadoc,08:27,setInput,Method,StructuredViewer,,Documentation,Navigation,Mouse,Java Editor,Mouse Hover,
Set Breakpoint,08:35,,Instruction,PasswordSafeJFace,updateViewers,,Debugging,Mouse,Java Editor,,
Show Javadoc,08:40,setInput,Method,StructuredViewer,,Documentation,Navigation,Mouse,Java Editor,Mouse Hover,
Show Javadoc,08:52,getPwsDataStore,Method,PasswordSafeJFace,,,Navigation,Mouse,Java Editor,Mouse Hover,
Open Declaration,08:57,getPwsDataStore,Method,PasswordSafeJFace,,Reference,Navigation,Both,Java Editor,Ctrl+Click,Click on Refrence
Back,09:12,,,,,Navigation History,Navigation,Mouse,Java Editor,Alt+Left,
Scan,09:17,updateViewers,Method,PasswordSafeJFace,,,Navigation,,Java Editor,,
Debug,09:19,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,09:37,,Instruction,PasswordSafeJFace,updateViewers,,Debugging,,Java Editor,,
Scan,09:44,Stacktrace,,,,,Debugging,,Console Window,,
Expand,10:01,this,Variable,PasswordSafeJFace,,,Debugging,Mouse,Variables Window,,
Scan,10:03,PasswordSafeSWT,Object,,,,Debugging,Mouse,Variables Window,,
Show Variable,10:11,dataStore,Field,PasswordSafeJFace,,,Debugging,Mouse,Variables Window,,
Expand,10:42,dataStore,Field,PasswordSafeJFace,,,Debugging,Mouse,Variables Window,,
Scan,10:42,PasswordSafeSWT,Object,,,,Debugging,Mouse,Variables Window,,
Show Variable,10:55,sparseEntries,Field,PwsEntryStoreImpl,,,Debugging,Mouse,Variables Window,,
Scan,11:05,updateViewers,Method,PasswordSafeJFace,,,Navigation,Both,Java Editor,Ctrl+Click,Click on Refrence
Show Javadoc,11:08,getPwsDataStore,Method,PasswordSafeJFace,,,Navigation,Mouse,Java Editor,Mouse Hover,
Open Declaration,11:09,getPwsDataStore,Method,PasswordSafeJFace,,,Navigation,Both,Java Editor,,
Open Declaration,11:13,PwsEntryStore,Interface,,,Declaration,Navigation,Both,Java Editor,Ctrl+Click,Click on Refrence
Scan,11:13,PwsEntryStore,Interface,,,,Navigation,,Java Editor,,
Step Over,12:07,,Instruction,PasswordSafeJFace,updateViewers,,Debugging,Mouse,Eclipse,,
Step Over,12:21,,Instruction,PasswordSafeJFace,setPwsFile,,Debugging,Mouse,Eclipse,,
Step Over,12:24,,Instruction,PasswordSafeJFace,openFile,,Debugging,Mouse,Eclipse,,
Step Over,12:29,,Instruction,PasswordSafeJFace,openFile,,Debugging,Mouse,Eclipse,,
Step Over,12:36,,Instruction,PasswordSafeJFace,openFile,,Debugging,Mouse,Eclipse,,
Step Over,12:42,,Instruction,PasswordSafeJFace,openFile,,Debugging,Mouse,Eclipse,,
Step Over,12:44,,Instruction,PasswordSafeJFace,displayOpeningDialog,,Debugging,Mouse,Eclipse,,
Step Over,12:46,,Instruction,PasswordSafeJFace,displayOpeningDialog,,Debugging,Mouse,Eclipse,,
Step Over,12:48,,Instruction,PasswordSafeJFace,displayOpeningDialog,,Debugging,Mouse,Eclipse,,
Step Over,12:54,,Instruction,PasswordSafeJFace,displayOpeningDialog,,Debugging,Mouse,Eclipse,,
Step Over,12:55,,Instruction,PasswordSafeJFace,displayOpeningDialog,,Debugging,Mouse,Eclipse,,
Step Over,12:56,,Instruction,PasswordSafeJFace,displayOpeningDialog,,Debugging,Mouse,Eclipse,,
Step Over,12:59,,Instruction,PasswordSafeJFace.<Anonymous Runnable>,run,,Debugging,Mouse,Eclipse,,
Step Over,13:02,,Instruction,RunnableLock,run,,Debugging,Mouse,Eclipse,No Sources Attached,
Resume,13:10,,,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,13:10,,Instruction,PasswordSafeJFace,updateViewers,,Debugging,,Java Editor,,
Resume,13:28,,,,,,Debugging,Mouse,Eclipse,,
Scan,13:52,Stacktrace,,,,,Debugging,,Console Window,,
Stop,14:02,,,,,,Debugging,Mouse,Eclipse,,
Scan,14:10,PasswordSafeJFace,Class,,,,Navigation,,Java Editor,,
Open Declaration,14:35,tableViewer,Field,PasswordSafeJFace,,Declaration,Navigation,Both,Java Editor,Ctrl+Click,Click on Refrence
Open Declaration,14:38,TableViewer,Class,,,Declaration,Navigation,Both,Java Editor,Ctrl+Click,no sources attached
Back,14:51,PasswordSafeJFace,Class,,,Navigation History,Navigation,Mouse,Eclipse,,
Google JavaDoc for TableViewer,14:58,,,,,,Other,Both,Google Chrome,,
Open Declaration,17:50,TableViewer,Class,,,Declaration,Navigation,Both,Java Editor,Ctrl+Click,no sources attached
Google JavaDoc for TableViewer,18:21,,,,,,Other,Both,Google Chrome,,
Java Search,18:30,„select“ [Method],String,,,,Navigation,Both,Search Dialog,Java Method Search,0 references in workspace
Google JavaDoc for TableViewer,18:43,,,,,,Other,Both,Google Chrome,,
Expand,19:13,PasswordSafeJ,Project,,,,Navigation,Both,Package Explorer,,
Expand,19:15,src,Source Folder,,,Project Contains Source Folder,Navigation,Mouse,Package Explorer,,
Expand,19:16,org.pwsafe.passwordsafej,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Scan,19:16,org.pwsafe.passwordsafej,Package,,,,Navigation,,Package Explorer,,
Expand,19:31,PasswordSafeLib,Project,,,,Navigation,Mouse,Package Explorer,,
Expand,19:33,src,Source Folder,,,Project Contains Source Folder,Navigation,Mouse,Package Explorer,,
Expand,19:36,org.pwsafe.lib,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Collapse,19:37,org.pwsafe.lib,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
